Category,Item Name,Calories,Price,Description,Image Path
سدنويشات الدجاج,بيج بيك,862,16.5,شريحة صدر دجاج كبير مع سلطة ملفوف والخيار المخلل وصلصة البيك المميّزة,images\45a3bf49e71d7e098cd3e6a115f778f7.jpg
سدنويشات الدجاج,بيج بيك حراق,946,16.5,شريحة صدر دجاج حراق كبير مع سلطة ملفوف والخيار المخلل وصلصة البيك المميّزة,images\45a3bf49e71d7e098cd3e6a115f778f7.jpg
سدنويشات الدجاج,دبل بيك,637,10.5,قطعتين من فيليه دجاج البيك الذهبية المقرمشة وشريحتين من الجبنة الذائبة الممزوجة بصوص كوكتيل البيك. لكللقمة لها جوها.,images\4973c2aefb42eaa27a6d2a81f66e134d.jpg
سدنويشات الدجاج,دبل بيك حراق,672,10.5,قطعتين من فيليه دجاج البيك الحراق الذهبية المقرمشة وشريحتين من الجبنة الذائبة الممزوجة بصوص كوكتيلالبيك. لكل لقمة لها جوها.,images\4973c2aefb42eaa27a6d2a81f66e134d.jpg
سدنويشات الدجاج,برجر فيليه دجاج حراق,348,7,"برجر فيليه دجاج حراق ، مع خيار مخلل ، وصلصة مميزة",images\74d451c0eee5f69d57aa8f719bdb8889.jpg
سدنويشات الدجاج,برجر فيليه دجاج,334,7,"برجر فيليه دجاج ، مع خيار مخلل ، وصلصة مميزة",images\74d451c0eee5f69d57aa8f719bdb8889.jpg
سدنويشات الدجاج,طاووق,448,9.5,"ساندويتش فيليه الدجاج المشوي مع صلصة ثوم البيك الشهيرة ، المخلل ، البطاطس",images\0916f8118a26feedfefb303369fa395d.jpg
سدنويشات الدجاج,طاووق حراق,452,9.5,"ساندويتش فيليه الدجاج الحراق المشوي مع صلصة ثوم البيك الشهيرة ، المخلل ، البطاطس",images\0916f8118a26feedfefb303369fa395d.jpg
سدنويشات الدجاج,ساندويتش فيليه الدجاج,373,9.5,"دجاج مسحب ملفوف بالخبز العربي، صلصة الثوم والخيار المخلل والبطاطس",images\586eb04aec8fa55ff803f51c1bc06b42.jpg
سدنويشات الدجاج,ساندويتش فيليه الدجاج الحراق,421,9.5,"دجاج مسحب حراق ملفوف بالخبز العربي، صلصة الثوم والخيار المخلل والبطاطس",images\586eb04aec8fa55ff803f51c1bc06b42.jpg
سدنويشات الدجاج,شاورما البيك بصلصة الثوم,323,7.5,ساندويتش شاورما الدجاج المشوي بصلصة الثوم,images\c54e9400ab1c35dfe03bdfe9612a39e4.jpg
سدنويشات الدجاج,شاورما البيك الحراق بصلصة الثوم,323,7.5,ساندويتش شاورما الدجاج المشوي الحراق بصلصة الثوم,images\c54e9400ab1c35dfe03bdfe9612a39e4.jpg
سدنويشات الدجاج,شاورما البيك بصلصة الطحينة,300,7.5,ساندويتش شاورما دجاج مشوي مع صلصة الطحينة,images\5db0a97518c35b6dcba78d1fab4af741.jpg
سدنويشات الدجاج,شاورما البيك الحراق بصلصة الطحينة,300,7.5,ساندويتش شاورما دجاج مشوي الحراق مع صلصة الطحينة,images\5db0a97518c35b6dcba78d1fab4af741.jpg
سندويشات بحرية,ساندوتش فيليه سمك,422,11,"فيليه سمك ملفوف بالخبز العربي مع صلصة مميزة ، مخلل ، بطاطس",images\2512ca8fe9bcc9ef8c68051a646d1f8a.jpg
سندويشات بحرية,ساندوتش فيليه سمك حراق,420,11,"فيليه سمك حراق ملفوف بالخبز العربي مع صلصة مميزة ، مخلل ، بطاطس",images\2512ca8fe9bcc9ef8c68051a646d1f8a.jpg
سندويشات بحرية,ساندويتش جمبري,540,15,"قطع جمبري ملفوف بالخبز العربي مع سلطة ملفوف، مخلل ، صلصة مميزة",images\61d464a48dae2f4585b0495172358318.jpg
سندويشات بحرية,ساندويتش جمبري حراق,540,15,"قطع جمبري حراق ملفوف بالخبز العربي مع سلطة ملفوف، مخلل ، صلصة مميزة",images\61d464a48dae2f4585b0495172358318.jpg
أطباق نباتية,وجبة فلافل,1215,10,"١٠ قطع لذيدة ومقرمشة من الفلافل تقدم مع البطاطس، قطعة خبز ، ٢ صلصة طحينة",images\4c56c001b3aaf35aad187c45a40b9c9d.jpg
أطباق نباتية,وجبة فلافل حراق,1221,10,"١٠ قطع لذيدة ومقرمشة من الفلافل الحراق تقدم مع البطاطس، قطعة خبز ، ٢ صلصة طحينة",images\4c56c001b3aaf35aad187c45a40b9c9d.jpg
أطباق نباتية,فلافل البيك,719,7,١٠ قطع لذيدة ومقرمشة من الفلافل تقدم مع ٢ صلصة طحينة,images\5e397efd049c6bcb055381dabaa02ed2.jpg
أطباق نباتية,فلافل البيك حراق,725,7,١٠ قطع لذيدة ومقرمشة من الفلافل الحراق تقدم مع ٢ صلصة طحينة,images\5e397efd049c6bcb055381dabaa02ed2.jpg
أطباق نباتية,سناك فلافل البيك حراق,363,4,٥ قطع لذيدة ومقرمشة من الفلافل الحراق تقدم مع صلصة طحينة,images\a6106c9184bbaa714bf0bb7963f52275.jpg
سندويتشات نباتية,ساندوتش فلافل,429,6.5,ساندوتش الفلافل المميزة مع صلصة الطحينة والمخلل والبطاطس,images\ca140920d60712eb905581440824affe.jpg
سندويتشات نباتية,ساندوتش فلافل حراق,481,6.5,ساندوتش الفلافل الحراق المميزة مع صلصة الطحينة والحمص والمخلل والبطاطس,images\ca140920d60712eb905581440824affe.jpg
أطباق جانبية,شبس البيك,380,6.5,رقائق البطاطس الذهبية المقرمشة,images\ef8f5c9d9786171ed3ecf49d8df88c72.jpg
أطباق جانبية,بطاطس مع صلصة الثوم,394,7.5,بطاطس ذهبية مقرمشة ومقلية تقدم مع صلصة ثوم البيك المميزة,images\2bcf870f53ef1be661a1c74ddf160889.jpg
أطباق جانبية,بطاطس,308,6.5,بطاطس ذهبية مقرمشة ومقلية تقدم مع كاتشب البيك,images\062d1a7ec89637bd55dacda4a105103e.jpg
أطباق جانبية,سلطة ملفوف,260,6.5,شرائح الملفوف زالجزر الطازجة ممزوجة بصلصة مميزة,images\hsimg-16003486
أطباق جانبية,حمّص,412,6.5,"حمص البيك المميز الذي يتم اعداده بالحمص المهروسة ، الطحينة ، وزيت الزيتون. يقدم مع الخبز",images\2450708ae708b7cd28b59ec901a80818.jpg
أطباق جانبية,خبز,376,2,قطعتين خبز مخبوزة في أفضل المخابز,images\b48e54db91671b79477f7dcef6ca98c8.jpg
أطباق جانبية,كوب الذرة,150,7.5,يقدم مع الزبدة,images\hsimg-12618622
أطباق جانبية,ذرة,234,7.5,تقدم ساخنة مع الزبدة,images\hsimg-8394113
أطباق جانبية,صلصة الثوم,86,2,الصلصة اللذيذة ذات الشهرة العالمية التي ينفرد بها البيك,images\097ddff0b5be96202323d42bde151e65.jpg
أطباق جانبية,صلصة الكوكتيل,150,2.5,صلصة كوكتيل البيك المميزة التي تضيف مذاقًا رائعًا لأي وجبة,images\79017d100b6c0d886e35a5d215e8c5d7.jpg
أطباق جانبية,صلصة المسحب,57,2,صلصة المسحب البيك المميزة التي تضيف مذاقًا رائعًا لأي وجبة,images\10a0557025c8f634e067e2aad9bf555e.jpg
المشروبات,بيبسي,151,4.5,بيبسي مميز ٣٦٠مل حصرياً في البيك,images\8189daf2bb5ca99ddd1d716f5451ddb4.jpg
المشروبات,بيبسي دايت,1,4.5,مشروب غازي ٣٦٠مل,images\dfb2960f3e2dd77854cbb03cb8838641.jpg
المشروبات,سفن أب,158,4.5,مشروب غازي ٣٦٠مل,images\b919990189e6d658888d4a9b59e2df53.jpg
المشروبات,ميرندا,191,4.5,مشروب غازي ٣٦٠مل,images\eafd6dd522e10b6f9d9b0b24622c1e57.jpg
المشروبات,ميرندا حمضيات,173,4.5,مشروب غازي ٣٦٠مل,images\54921a705f4c7358b9728bc042ccd870.jpg
المشروبات,ماء,1,2,قارورة ماء ٦٠٠مل,images\b8cb4cff9f26934fcb4a8a76a12acde4.jpg
المشروبات,ليبتون آيس تي بنكهة الليمون,77,5.5,مشروب غير غازي ٣٢٠ مل يحتوي على خلاصة الشاي بنكهة الليمون,images\067f8e0ddcb63931e56e294c3f7df9c0.jpg
المشروبات,ليبتون آيس تي بنكهة المشمش,80,5.5,مشروب غير غازي ٣٢٠ مل يحتوي على خلاصة الشاي بنكهة المشمش,images\58e5abba1febc24bde80faece2219d1f.jpg
المشروبات,عصير برتقال,156,5,عصير برتقال ٣٠٠مل,images\d39ce38050a498fc4d5912b022ca8104.jpg
المشروبات,عصير برتقال – حجم صغير,84,3.5,عصير برتقال ٢٠٠مل,images\017d115cb7689153c758e0f290b08a9b.jpg
المشروبات,عصير تفاح,138,5,عصير تفاح ٣٠٠مل,images\f37dbfe6b1e09fcd68a405f97f0b016c.jpg
المشروبات,عصير تفاح – حجم صغير,92,3.5,عصير تفاح ٢٠٠مل,images\77c4b8638d3dfc9ff18a086177213693.jpg
المشروبات,عصير مانجا وعنب,158,5,عصير مانجا وعنب ٣٠٠مل,images\d6af02bcfe01a6d31a0ee3d6b29945ad.jpg
المشروبات,عصير مانجا وعنب – حجم صغير,105,3.5,عصير مانجا وعنب٢٠٠مل,images\1dc69850b565b45f6cb54706e018a1c6.jpg
المشروبات,عصير فواكه مشكلة,157,5,عصير فواكه مشكلة ٣٠٠مل,images\d2f75a82769b2b63c0e5762036a425eb.jpg
المشروبات,عصير فواكه مشكلة – حجم صغير,105,3.5,عصير فواكه مشكلة ٢٠٠مل,images\e1a3f81573788693d028df8a2db5ff3b.jpg
